epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,1374.89,1.82576,0.95229,1.22703,0.74241,0.73692,0.7431,0.30666,2.19263,1.18096,1.44672,0.00061116,0.00061116,0.00061116
25,1425.54,1.86225,0.97652,1.24377,0.78189,0.72414,0.77757,0.31393,2.20787,1.11173,1.45207,0.000628728,0.000628728,0.000628728
26,1477.33,1.7886,0.96654,1.2375,0.79383,0.76338,0.79752,0.30128,2.20875,1.09839,1.44687,0.000626832,0.000626832,0.000626832
27,1531.96,1.77836,0.93835,1.18651,0.81684,0.78034,0.79692,0.32206,2.16642,1.0688,1.41431,0.000618586,0.000618586,0.000618586
28,1587.47,1.81524,0.93319,1.19296,0.77479,0.8034,0.80488,0.31777,2.2005,1.0743,1.43952,0.000610339,0.000610339,0.000610339
29,1647.17,1.86285,0.99685,1.19255,0.85994,0.74416,0.80276,0.32539,2.21366,1.07604,1.45185,0.000602092,0.000602092,0.000602092
30,1706.85,1.75385,0.90911,1.13667,0.86933,0.77187,0.81852,0.33331,2.16956,1.04762,1.42118,0.000593846,0.000593846,0.000593846
31,1763.24,1.7716,0.92654,1.18769,0.82261,0.73614,0.77588,0.32672,2.21462,1.08674,1.45253,0.000585599,0.000585599,0.000585599
32,1820.93,1.73053,0.93548,1.17527,0.75151,0.67897,0.7029,0.28083,2.35328,1.1661,1.54014,0.000577352,0.000577352,0.000577352
33,1879.57,1.75384,0.90136,1.18775,0.7927,0.65462,0.73238,0.29652,2.27537,1.1153,1.50734,0.000569106,0.000569106,0.000569106
34,1933.38,1.72367,0.91495,1.19114,0.74839,0.78728,0.76079,0.32524,2.16946,1.02823,1.45493,0.000560859,0.000560859,0.000560859
35,1993.01,1.72946,0.89188,1.15134,0.79697,0.80072,0.79487,0.33006,2.17762,0.97772,1.45742,0.000552612,0.000552612,0.000552612
36,2049.21,1.68275,0.85142,1.15019,0.80314,0.7813,0.78975,0.31666,2.25965,0.98362,1.4928,0.000544365,0.000544365,0.000544365
37,2103.58,1.71643,0.87504,1.20226,0.73375,0.71409,0.71799,0.28267,2.38188,1.02968,1.56993,0.000536119,0.000536119,0.000536119
38,2158.89,1.69874,0.84855,1.14961,0.76091,0.75641,0.74144,0.29191,2.35535,1.01981,1.55605,0.000527872,0.000527872,0.000527872
39,2217.68,1.72271,0.85825,1.17641,0.80289,0.79457,0.78294,0.30933,2.26276,1.01545,1.49966,0.000519625,0.000519625,0.000519625
40,2274.34,1.68504,0.83456,1.1377,0.82151,0.82739,0.80746,0.31327,2.22346,0.98528,1.47085,0.000511379,0.000511379,0.000511379
41,2331.07,1.75758,0.85545,1.17507,0.83288,0.78833,0.79115,0.30422,2.22569,0.96794,1.47058,0.000503132,0.000503132,0.000503132
42,2383.51,1.69954,0.8238,1.15328,0.81327,0.78013,0.80059,0.30509,2.23067,0.96545,1.47088,0.000494885,0.000494885,0.000494885
43,2438.45,1.63227,0.82081,1.18395,0.75785,0.76066,0.73742,0.28724,2.2903,0.96595,1.51082,0.000486639,0.000486639,0.000486639
44,2494.15,1.65052,0.80087,1.1713,0.78779,0.81404,0.80374,0.30828,2.25517,0.96418,1.48465,0.000478392,0.000478392,0.000478392
45,2552.34,1.6922,0.81682,1.23454,0.82553,0.82817,0.83165,0.33883,2.17258,0.94612,1.42562,0.000470145,0.000470145,0.000470145
46,2610.49,1.67374,0.81098,1.20525,0.81133,0.80792,0.81242,0.33859,2.16166,0.94688,1.41695,0.000461898,0.000461898,0.000461898
47,2665.53,1.59088,0.80781,1.11393,0.80436,0.80931,0.79477,0.31175,2.21315,0.94977,1.4537,0.000453652,0.000453652,0.000453652
48,2721.33,1.74286,0.84101,1.12751,0.80247,0.82045,0.80927,0.32787,2.20794,0.93076,1.44499,0.000445405,0.000445405,0.000445405
49,2775.59,1.62585,0.81931,1.14916,0.77416,0.84128,0.83136,0.33101,2.19476,0.91653,1.42331,0.000437158,0.000437158,0.000437158
50,2830.74,1.55857,0.79232,1.07737,0.76948,0.83656,0.82175,0.32544,2.21201,0.91524,1.43191,0.000428912,0.000428912,0.000428912
51,2887.83,1.67542,0.8632,1.23962,0.81454,0.80368,0.78814,0.29278,2.27016,0.92182,1.47653,0.000420665,0.000420665,0.000420665
52,2944.68,1.67601,0.8232,1.18098,0.80292,0.78944,0.77821,0.28572,2.30935,0.9607,1.50927,0.000412418,0.000412418,0.000412418
53,2999.79,1.65986,0.84329,1.22783,0.80523,0.79589,0.77488,0.29289,2.29918,0.96585,1.51279,0.000404172,0.000404172,0.000404172
54,3056.54,1.55294,0.77511,1.17792,0.79224,0.79458,0.77673,0.31208,2.24003,0.91432,1.47495,0.000395925,0.000395925,0.000395925
55,3109.68,1.59642,0.76963,1.18593,0.79739,0.82477,0.78535,0.32089,2.23675,0.91252,1.4715,0.000387678,0.000387678,0.000387678
56,3162.92,1.53904,0.75788,1.20642,0.79321,0.82358,0.78611,0.31906,2.2814,0.91572,1.50375,0.000379431,0.000379431,0.000379431
