epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8448,3.05926,5.1863,2.3667,0,0,0,0,2.89757,4.81508,2.42948,2.222e-05,2.222e-05,2.222e-05
2,20.7763,2.75525,5.13671,2.11001,0,0,0,0,2.75397,4.79451,2.31995,5.00506e-05,5.00506e-05,5.00506e-05
3,30.7267,2.55337,4.88021,1.9149,0,0,0,0,2.52572,4.75575,2.1638,7.12818e-05,7.12818e-05,7.12818e-05
4,41.0011,2.57316,4.93628,1.84959,0,0,0,0,2.26553,4.6629,1.99666,8.59136e-05,8.59136e-05,8.59136e-05
5,51.9425,2.37766,4.58204,1.71681,0,0,0,0,2.1944,4.64159,1.9322,9.39462e-05,9.39462e-05,9.39462e-05
6,62.2587,2.27031,4.46317,1.67269,0,0,0,0,2.06432,4.55634,1.74389,9.53793e-05,9.53793e-05,9.53793e-05
7,72.602,2.20943,4.34031,1.56197,0,0,0,0,1.99603,4.47624,1.6487,9.02132e-05,9.02132e-05,9.02132e-05
8,82.764,2.03142,4.10325,1.47848,0,0,0,0,1.93419,4.42983,1.56715,7.84477e-05,7.84477e-05,7.84477e-05
9,92.5359,2.14683,4.10824,1.47318,0,0,0,0,1.9344,4.35157,1.52803,6.00829e-05,6.00829e-05,6.00829e-05
10,102.579,1.96522,4.03817,1.45632,0,0,0,0,1.89506,4.31337,1.48911,3.51187e-05,3.51187e-05,3.51187e-05
