epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0504,3.0422,4.84917,2.17385,0,0,0,0,2.93158,4.80581,2.41926,2.222e-05,2.222e-05,2.222e-05
2,21.9898,2.8726,4.88344,2.06921,0,0,0,0,2.60533,4.74738,2.21064,5.50001e-05,5.50001e-05,5.50001e-05
3,32.0692,2.65065,4.63672,1.86591,0,0,0,0,2.32017,4.67639,2.0129,8.71202e-05,8.71202e-05,8.71202e-05
4,41.8342,2.46656,4.44825,1.64427,0,0,0,0,2.15147,4.594,1.81012,0.00011858,0.00011858,0.00011858
5,51.4129,2.30752,4.21339,1.54339,0,0,0,0,2.07394,4.4489,1.65736,0.000149381,0.000149381,0.000149381
6,61.0404,2.18644,4.01871,1.39257,0,0,0,0,1.94834,4.25341,1.47529,0.000179521,0.000179521,0.000179521
7,70.6542,2.11069,3.81202,1.35937,0,0,0,0,1.94667,4.19933,1.45063,0.000209001,0.000209001,0.000209001
8,80.4841,1.99157,3.43289,1.36849,0.00033,0.025,0.00848,0.0017,1.88655,4.15385,1.39327,0.000237822,0.000237822,0.000237822
9,90.0878,2.12987,3.32287,1.35209,0.00059,0.05,0.02532,0.00504,1.86626,4.05509,1.33375,0.000265982,0.000265982,0.000265982
10,99.8129,1.98984,3.0758,1.30434,0.00351,0.25,0.13547,0.06808,1.82508,3.93022,1.30012,0.000293483,0.000293483,0.000293483
11,109.42,1.87466,2.79458,1.23887,0.00544,0.4,0.28423,0.16806,1.84947,3.82155,1.2825,0.000320324,0.000320324,0.000320324
12,119.184,1.88564,2.66892,1.25335,0.0055,0.4,0.3051,0.1875,1.81464,3.72145,1.26567,0.000346504,0.000346504,0.000346504
13,128.805,1.84321,2.65506,1.25426,0.00547,0.4,0.30858,0.19811,1.76299,3.59381,1.2386,0.000372025,0.000372025,0.000372025
14,138.39,1.75718,2.29235,1.20294,0.01055,0.55,0.39696,0.23465,1.7523,3.45209,1.23688,0.000396886,0.000396886,0.000396886
15,147.915,1.91531,2.3128,1.23103,0.01055,0.55,0.39696,0.23465,1.7523,3.45209,1.23688,0.000421087,0.000421087,0.000421087
16,157.756,1.74494,2.0464,1.1789,0.01374,0.8,0.47652,0.25985,1.68207,3.2626,1.21235,0.000444628,0.000444628,0.000444628
17,167.7,1.75013,2.00551,1.26557,0.46456,0.73435,0.67184,0.32556,1.65059,3.03508,1.19717,0.000467509,0.000467509,0.000467509
18,177.588,1.72564,1.79254,1.19061,0.46456,0.73435,0.67184,0.32556,1.65059,3.03508,1.19717,0.00048973,0.00048973,0.00048973
19,187.567,1.75999,1.72038,1.2043,0.8245,0.225,0.72955,0.37776,1.62415,2.77067,1.1834,0.000511291,0.000511291,0.000511291
20,197.897,1.78528,1.76394,1.28395,0.82884,0.33127,0.82037,0.42568,1.63042,2.62675,1.18736,0.000532192,0.000532192,0.000532192
