epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,2424.28,2.38105,4.58447,0.61541,2.42547,2.44623,0.22566,0.23529,0.15842,0.07503,0.16051,0.29412,0.10983,0.05728,2.13597,4.5727,0.24395,5.99784,2.73347,0.0014852,0.0014852,0.0014852
28,2528.7,2.19846,4.44637,0.56026,2.19779,2.33559,0.12334,0.32353,0.11448,0.03622,0.00934,0.17647,0.0044,0.00092,2.76514,5.59625,0.30985,10.6168,4.0677,0.0014654,0.0014654,0.0014654
29,2619.64,2.31995,4.91601,0.58309,2.20384,2.39015,0.12334,0.32353,0.11448,0.03622,0.00934,0.17647,0.0044,0.00092,2.76514,5.59625,0.30985,10.6168,4.0677,0.0014456,0.0014456,0.0014456
30,2709.5,2.12611,4.20993,0.63718,2.03525,2.34174,0.13992,0.32353,0.08092,0.02563,0.03076,0.20588,0.0184,0.00424,2.05901,5.03287,0.24328,6.32392,2.84466,0.0014258,0.0014258,0.0014258
31,2797.71,2.09194,4.62277,0.55301,2.08012,2.19019,0.11017,0.41176,0.07621,0.02778,0.06777,0.29412,0.04311,0.01581,1.92036,3.91301,0.24116,4.28707,2.44481,0.001406,0.001406,0.001406
32,2882.22,1.9722,3.99869,0.58149,2.06881,2.13833,0.11017,0.41176,0.07621,0.02778,0.06777,0.29412,0.04311,0.01581,1.92036,3.91301,0.24116,4.28707,2.44481,0.0013862,0.0013862,0.0013862
33,2966.67,2.06724,4.32542,0.56425,2.21996,2.23662,0.11319,0.52941,0.08857,0.03004,0.09283,0.5,0.07498,0.0254,2.14117,3.74218,0.26475,4.57452,2.65809,0.0013664,0.0013664,0.0013664
34,3052.59,1.94748,3.74481,0.55171,2.07435,2.22358,0.11319,0.52941,0.08857,0.03004,0.09283,0.5,0.07498,0.0254,2.14117,3.74218,0.26475,4.57452,2.65809,0.0013466,0.0013466,0.0013466
35,3138.24,2.02473,3.81267,0.60779,2.0665,2.19952,0.18134,0.52941,0.16626,0.05582,0.16087,0.47059,0.11708,0.05196,1.8058,3.07204,0.21932,3.99634,2.41981,0.0013268,0.0013268,0.0013268
36,3223.9,1.65972,3.13821,0.54295,1.90993,1.96965,0.15323,0.61765,0.16784,0.06396,0.1208,0.56171,0.10245,0.04535,1.68391,2.75854,0.20693,4.06037,2.48163,0.001307,0.001307,0.001307
37,3311.37,2.2741,4.22229,0.51796,2.21049,2.4513,0.15323,0.61765,0.16784,0.06396,0.1208,0.56171,0.10245,0.04535,1.68391,2.75854,0.20693,4.06037,2.48163,0.0012872,0.0012872,0.0012872
38,3396.77,1.82311,3.42953,0.55231,2.01862,1.96484,0.18156,0.61765,0.18386,0.07411,0.12632,0.5,0.09891,0.04931,1.72538,2.69873,0.20332,3.31543,2.41684,0.0012674,0.0012674,0.0012674
39,3482.03,1.95265,3.25614,0.5293,2.0557,2.11223,0.21679,0.41176,0.15957,0.06347,0.11537,0.26471,0.0925,0.03837,1.71223,2.61772,0.19599,2.86899,2.18578,0.0012476,0.0012476,0.0012476
40,3566.12,1.96676,3.83302,0.498,1.82742,2.11704,0.21679,0.41176,0.15957,0.06347,0.11537,0.26471,0.0925,0.03837,1.71223,2.61772,0.19599,2.86899,2.18578,0.0012278,0.0012278,0.0012278
41,3654.97,1.84387,3.79855,0.57338,2.04815,2.07273,0.23608,0.52941,0.22558,0.09317,0.13056,0.47059,0.10604,0.03654,1.7604,3.34739,0.16346,2.90401,2.325,0.001208,0.001208,0.001208
42,3745.32,1.72499,3.23314,0.49406,1.92763,2.08606,0.23608,0.52941,0.22558,0.09317,0.13056,0.47059,0.10604,0.03654,1.7604,3.34739,0.16346,2.90401,2.325,0.0011882,0.0011882,0.0011882
43,3839.75,1.91964,3.76857,0.60225,2.04138,2.15932,0.50545,0.42106,0.4366,0.21757,0.29826,0.41176,0.27871,0.12764,1.64522,2.45599,0.18285,2.60442,2.14948,0.0011684,0.0011684,0.0011684
44,3928.65,1.66449,3.12993,0.52398,1.80189,1.92782,0.41257,0.41176,0.38564,0.18801,0.35417,0.61765,0.37384,0.20977,1.65176,2.20609,0.18199,2.44035,2.13924,0.0011486,0.0011486,0.0011486
45,4015.14,1.98231,3.54665,0.52954,1.86614,2.08538,0.41257,0.41176,0.38564,0.18801,0.35417,0.61765,0.37384,0.20977,1.65176,2.20609,0.18199,2.44035,2.13924,0.0011288,0.0011288,0.0011288
46,4107.63,1.89979,4.00709,0.63442,1.85474,2.14799,0.50794,0.55882,0.58032,0.2572,0.44732,0.5,0.51165,0.25413,1.66944,2.00892,0.2038,1.97039,2.10833,0.001109,0.001109,0.001109
47,4196.58,1.74556,2.65936,0.44285,1.80217,2.03251,0.46805,0.58824,0.43864,0.17342,0.43178,0.49184,0.40355,0.15888,1.87373,2.34403,0.23252,1.90574,2.2054,0.0010892,0.0010892,0.0010892
48,4283.36,1.99576,3.55839,0.58758,1.86465,2.10869,0.46805,0.58824,0.43864,0.17342,0.43178,0.49184,0.40355,0.15888,1.87373,2.34403,0.23252,1.90574,2.2054,0.0010694,0.0010694,0.0010694
49,4370.93,1.94849,3.27599,0.55999,1.8489,2.06697,0.32044,0.47059,0.33586,0.12466,0.30041,0.44118,0.27086,0.1154,2.40454,2.8623,0.27234,2.75267,2.69859,0.0010496,0.0010496,0.0010496
50,4460.16,1.77177,3.06452,0.60494,1.81804,1.85025,0.32044,0.47059,0.33586,0.12466,0.30041,0.44118,0.27086,0.1154,2.40454,2.8623,0.27234,2.75267,2.69859,0.0010298,0.0010298,0.0010298
51,4554.32,1.75956,2.98505,0.50069,1.92554,1.9978,0.28226,0.58824,0.37372,0.13054,0.25302,0.53806,0.30406,0.12522,2.53427,3.03657,0.29322,2.47074,2.85751,0.00101,0.00101,0.00101
52,4648.33,1.94389,3.00011,0.57522,1.89611,2.02128,0.42955,0.55882,0.4013,0.1668,0.45266,0.58386,0.4136,0.21684,2.08059,2.30219,0.25503,2.68995,2.38472,0.0009902,0.0009902,0.0009902
53,4741.03,1.62974,2.97778,0.58108,1.77091,1.93113,0.42955,0.55882,0.4013,0.1668,0.45266,0.58386,0.4136,0.21684,2.08059,2.30219,0.25503,2.68995,2.38472,0.0009704,0.0009704,0.0009704
54,4827.95,1.78155,3.54941,0.57342,1.71646,1.87046,0.49064,0.5,0.45935,0.18204,0.44719,0.5,0.44725,0.21427,1.69483,1.89079,0.2241,2.11727,2.10676,0.0009506,0.0009506,0.0009506
55,4916.64,1.76164,3.00429,0.53302,1.80337,1.99392,0.31142,0.439,0.29191,0.13178,0.29026,0.55882,0.33476,0.17489,1.69476,1.89791,0.21617,2.19824,2.10543,0.0009308,0.0009308,0.0009308
56,4999.23,1.92182,3.44453,0.58284,1.84309,2.12344,0.31142,0.439,0.29191,0.13178,0.29026,0.55882,0.33476,0.17489,1.69476,1.89791,0.21617,2.19824,2.10543,0.000911,0.000911,0.000911
57,5087.27,1.63539,2.99347,0.49749,1.61234,1.80321,0.31948,0.58002,0.42174,0.19728,0.32129,0.58482,0.42689,0.23586,1.50589,1.77034,0.21794,2.01826,2.01058,0.0008912,0.0008912,0.0008912
58,5172.72,1.67088,3.18369,0.5131,1.59139,1.76202,0.31948,0.58002,0.42174,0.19728,0.32129,0.58482,0.42689,0.23586,1.50589,1.77034,0.21794,2.01826,2.01058,0.0008714,0.0008714,0.0008714
59,5264.2,1.5223,2.67002,0.54429,1.53929,1.71775,0.40941,0.55063,0.46892,0.2438,0.3693,0.5,0.43711,0.29353,1.66886,1.88188,0.23834,2.03429,2.07012,0.0008516,0.0008516,0.0008516
60,5359.68,1.64684,2.65949,0.52327,1.66846,1.8216,0.48334,0.55045,0.51583,0.26775,0.53404,0.61765,0.53044,0.34527,1.61665,1.76024,0.22959,1.82572,2.01159,0.0008318,0.0008318,0.0008318
61,5456.94,1.63263,2.75691,0.49666,1.72391,1.8011,0.48334,0.55045,0.51583,0.26775,0.53404,0.61765,0.53044,0.34527,1.61665,1.76024,0.22959,1.82572,2.01159,0.000812,0.000812,0.000812
62,5547.96,1.67794,3.15908,0.54967,1.5971,1.84993,0.44468,0.64706,0.53286,0.31086,0.44468,0.64706,0.52056,0.38815,1.31334,1.43606,0.20927,1.66723,1.85895,0.0007922,0.0007922,0.0007922
63,5640.07,1.63783,2.88776,0.55487,1.74577,1.86374,0.50719,0.67647,0.54739,0.33559,0.54399,0.67647,0.55741,0.41502,1.29096,1.26852,0.21321,1.57477,1.83798,0.0007724,0.0007724,0.0007724
64,5730.95,1.8071,3.21308,0.51033,1.66558,1.87617,0.50719,0.67647,0.54739,0.33559,0.54399,0.67647,0.55741,0.41502,1.29096,1.26852,0.21321,1.57477,1.83798,0.0007526,0.0007526,0.0007526
65,5824.54,1.6698,2.97682,0.61832,1.7767,1.78854,0.41598,0.55882,0.50579,0.28531,0.45976,0.61765,0.53863,0.35804,1.43881,1.45372,0.21961,1.71368,1.95598,0.0007328,0.0007328,0.0007328
66,5914.33,1.65504,2.95611,0.58228,1.72861,1.84435,0.41598,0.55882,0.50579,0.28531,0.45976,0.61765,0.53863,0.35804,1.43881,1.45372,0.21961,1.71368,1.95598,0.000713,0.000713,0.000713
67,6005.93,1.54297,2.50141,0.54115,1.57555,1.85353,0.5103,0.76471,0.60388,0.35522,0.52574,0.73529,0.56339,0.3447,1.48482,1.873,0.22021,1.63932,2.03364,0.0006932,0.0006932,0.0006932
68,6094.45,1.51459,2.51908,0.65277,1.6025,1.86304,0.54056,0.76136,0.67191,0.4056,0.53317,0.73908,0.66034,0.4103,1.66975,1.9496,0.22152,1.631,2.15585,0.0006734,0.0006734,0.0006734
69,6189.5,1.52233,2.80689,0.60339,1.6334,1.88339,0.54056,0.76136,0.67191,0.4056,0.53317,0.73908,0.66034,0.4103,1.66975,1.9496,0.22152,1.631,2.15585,0.0006536,0.0006536,0.0006536
70,6275.78,1.61944,2.95005,0.58138,1.60007,1.89186,0.48239,0.64706,0.66831,0.37734,0.48239,0.64706,0.65401,0.45129,1.48815,1.61994,0.23468,1.54348,1.9676,0.0006338,0.0006338,0.0006338
71,6361.57,1.59043,3.04648,0.5111,1.58368,1.8125,0.45943,0.82353,0.62464,0.37445,0.44854,0.76555,0.58456,0.403,1.3244,1.39936,0.22921,1.56252,1.82671,0.000614,0.000614,0.000614
72,6449.49,1.5385,2.54773,0.54161,1.55135,1.91951,0.45943,0.82353,0.62464,0.37445,0.44854,0.76555,0.58456,0.403,1.3244,1.39936,0.22921,1.56252,1.82671,0.0005942,0.0005942,0.0005942
73,6541.45,1.69844,2.93056,0.58891,1.60274,1.83576,0.49389,0.88235,0.59288,0.3649,0.48299,0.85294,0.56688,0.39995,1.23173,1.37076,0.22529,1.61088,1.76866,0.0005744,0.0005744,0.0005744
74,6631.28,1.36432,2.29497,0.5142,1.41084,1.60939,0.49389,0.88235,0.59288,0.3649,0.48299,0.85294,0.56688,0.39995,1.23173,1.37076,0.22529,1.61088,1.76866,0.0005546,0.0005546,0.0005546
75,6721.06,1.38902,2.24777,0.551,1.34744,1.64539,0.50505,0.88235,0.65599,0.39905,0.4971,0.82353,0.63003,0.44212,1.23457,1.33389,0.21802,1.54314,1.7526,0.0005348,0.0005348,0.0005348
