epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1456,2.8136,6.06404,2.01293,0,0,0,0,2.63396,6.49431,2.33902,2.222e-05,2.222e-05,2.222e-05
2,68.976,2.85018,4.92887,2.04397,0.00219,0.17778,0.0208,0.01064,2.39489,4.52636,2.1246,5.5275e-05,5.5275e-05,5.5275e-05
3,102.814,2.46186,3.71917,1.87851,0.84861,0.26667,0.27515,0.13716,2.30329,3.28096,1.99753,8.80001e-05,8.80001e-05,8.80001e-05
4,136.854,2.2499,2.9105,1.74667,0.8962,0.3185,0.42553,0.19801,2.05286,2.90165,1.80934,0.000120395,0.000120395,0.000120395
5,171.133,2.14848,2.34238,1.64059,0.68766,0.3976,0.55003,0.2538,2.02548,2.63919,1.75849,0.00015246,0.00015246,0.00015246
6,204.553,2.09988,2.17683,1.5693,0.79507,0.70442,0.67432,0.32611,1.85892,1.97924,1.60024,0.000184195,0.000184195,0.000184195
7,237.102,1.87685,1.92883,1.45803,0.85356,0.71111,0.67949,0.33994,1.81061,1.78732,1.55505,0.000215601,0.000215601,0.000215601
8,265.455,1.92367,1.556,1.42482,0.8425,0.75556,0.76199,0.39284,1.72718,1.54786,1.48405,0.000246676,0.000246676,0.000246676
9,289.665,1.82896,1.59573,1.39766,0.85255,0.85598,0.86368,0.4214,1.67396,1.39655,1.44816,0.000277421,0.000277421,0.000277421
10,313.98,1.81479,1.5187,1.38345,0.8775,0.89416,0.90778,0.45643,1.6768,1.34044,1.43246,0.000307836,0.000307836,0.000307836
11,338.549,1.77732,1.41471,1.43302,0.84624,0.87152,0.91045,0.49063,1.6268,1.23769,1.3913,0.000337922,0.000337922,0.000337922
12,362.957,1.71268,1.29341,1.34486,0.84834,0.88448,0.91235,0.49097,1.60277,1.17227,1.37002,0.000367677,0.000367677,0.000367677
13,387.622,1.67123,1.18012,1.297,0.88474,0.94227,0.93415,0.48814,1.63676,1.09904,1.38355,0.000397103,0.000397103,0.000397103
14,412.987,1.6508,1.18685,1.37106,0.81043,0.93595,0.93582,0.51842,1.58998,1.22257,1.34973,0.000426198,0.000426198,0.000426198
