epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.823,2.71332,4.88522,1.66738,0,0,0,0,2.67539,5.27467,1.64694,1e-05,1e-05,1e-05
2,19.327,2.58673,4.84327,1.71956,0,0,0,0,2.53161,5.15381,1.56661,2.9406e-05,2.9406e-05,2.9406e-05
3,28.591,2.17837,4.72795,1.60869,0,0,0,0,2.31049,5.05752,1.46279,4.802e-05,4.802e-05,4.802e-05
4,37.684,2.39226,4.61452,1.46702,0,0,0,0,2.07505,4.93076,1.34461,6.5842e-05,6.5842e-05,6.5842e-05
5,47.261,2.35025,4.55634,1.35265,0,0,0,0,1.93232,4.86717,1.28471,8.2872e-05,8.2872e-05,8.2872e-05
6,57.1,2.06678,4.21714,1.29748,0,0,0,0,1.89857,4.76381,1.24878,9.911e-05,9.911e-05,9.911e-05
7,66.252,2.12953,4.16355,1.25564,0,0,0,0,1.99913,4.65133,1.24776,0.000114556,0.000114556,0.000114556
8,75.494,2.08276,3.91385,1.30315,0,0,0,0,1.93075,4.5746,1.21209,0.00012921,0.00012921,0.00012921
9,84.847,2.27071,3.78405,1.24753,0,0,0,0,1.92407,4.54382,1.20182,0.000143072,0.000143072,0.000143072
10,94.16,2.34373,3.61643,1.25148,0,0,0,0,1.89167,4.50193,1.18323,0.000156142,0.000156142,0.000156142
11,103.939,2.23937,3.64566,1.26917,0,0,0,0,1.89163,4.46889,1.17754,0.00016842,0.00016842,0.00016842
12,113.74,2.06684,3.35994,1.20293,0,0,0,0,1.84666,4.43591,1.14454,0.000179906,0.000179906,0.000179906
13,123.699,1.96193,3.29344,1.20751,0,0,0,0,1.80599,4.40404,1.11472,0.0001906,0.0001906,0.0001906
14,133.265,2.14838,3.16899,1.14253,0,0,0,0,1.77334,4.36975,1.10213,0.000200502,0.000200502,0.000200502
15,142.868,2.07581,3.24885,1.22501,0.00029,0.02381,0.00021,0.00015,1.82059,4.34684,1.1209,0.000209612,0.000209612,0.000209612
16,152.053,2.06178,2.86663,1.1849,0.00063,0.04762,0.0131,0.01013,1.84658,4.31217,1.14339,0.00021793,0.00021793,0.00021793
17,161.496,2.1328,2.85249,1.19896,0.00093,0.07143,0.02418,0.01454,1.89981,4.26883,1.134,0.000225456,0.000225456,0.000225456
18,170.226,1.8646,2.54122,1.24475,0.00183,0.11905,0.02363,0.01454,1.91286,4.21894,1.14211,0.00023219,0.00023219,0.00023219
19,179.012,2.07608,2.58436,1.26588,0.00418,0.2381,0.08448,0.04627,1.89959,4.15526,1.14595,0.000238132,0.000238132,0.000238132
20,198.146,2.02478,2.59982,1.2435,0.0064,0.33333,0.14489,0.06732,1.83581,4.07268,1.135,0.000243282,0.000243282,0.000243282
21,207.508,1.85911,2.24472,1.15948,0.00951,0.45238,0.22632,0.08997,1.79036,4.00546,1.12816,0.00024764,0.00024764,0.00024764
22,216.153,1.867,2.3776,1.17572,0.0083,0.40476,0.26293,0.10925,1.81485,3.96458,1.12806,0.000251206,0.000251206,0.000251206
23,224.831,1.98797,2.26206,1.0681,0.00849,0.40476,0.33919,0.15158,1.85978,3.92418,1.13207,0.00025398,0.00025398,0.00025398
24,233.709,1.86319,2.15915,1.11052,0.00968,0.45238,0.34544,0.14094,1.88351,3.87994,1.13439,0.000255962,0.000255962,0.000255962
25,243.154,1.84533,2.106,1.15454,0.01022,0.5,0.37762,0.15768,1.85389,3.82754,1.12136,0.000257152,0.000257152,0.000257152
26,252.32,1.93866,2.20601,1.20527,0.01191,0.57143,0.42845,0.17121,1.81807,3.7858,1.11194,0.00025755,0.00025755,0.00025755
27,261.851,1.80703,2.07224,1.21598,0.01428,0.69048,0.58578,0.24642,1.83662,3.7325,1.12306,0.000257156,0.000257156,0.000257156
28,270.901,1.74966,2.13056,1.16968,0.01428,0.69048,0.58578,0.24642,1.83662,3.7325,1.12306,0.00025597,0.00025597,0.00025597
29,281.466,1.5527,2.10318,1.10399,0.01365,0.66667,0.57978,0.24005,1.86884,3.66594,1.13611,0.000253992,0.000253992,0.000253992
30,291.18,1.79176,2.00823,1.17603,0.01578,0.69048,0.52292,0.24184,1.85912,3.57226,1.13574,0.000251222,0.000251222,0.000251222
31,300.663,1.93168,1.8938,1.142,0.01578,0.69048,0.52292,0.24184,1.85912,3.57226,1.13574,0.00024766,0.00024766,0.00024766
32,310.047,1.72566,1.87693,1.15328,0.01657,0.71429,0.55628,0.2673,1.8156,3.45927,1.12386,0.000243306,0.000243306,0.000243306
33,319.715,1.70102,1.77295,1.03707,0.01844,0.78571,0.63466,0.31937,1.75061,3.33632,1.10511,0.00023816,0.00023816,0.00023816
34,329.041,1.6646,1.78369,1.10709,0.01844,0.78571,0.63466,0.31937,1.75061,3.33632,1.10511,0.000232222,0.000232222,0.000232222
35,338.572,1.74138,1.63334,1.04598,0.02099,0.88095,0.74355,0.35642,1.72463,3.23351,1.09776,0.000225492,0.000225492,0.000225492
36,348.166,1.58872,1.71479,1.10834,0.02329,0.97619,0.82906,0.38888,1.71564,3.09691,1.09458,0.00021797,0.00021797,0.00021797
