epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.82128,2.75763,5.28979,2.08027,0,0,0,0,2.86856,4.75162,2.46295,2.222e-05,2.222e-05,2.222e-05
2,18.3627,2.84356,5.14643,2.14569,0,0,0,0,2.66699,4.7288,2.3336,5.00506e-05,5.00506e-05,5.00506e-05
3,26.8001,2.56597,4.91247,1.87794,0,0,0,0,2.49913,4.68141,2.19681,7.12818e-05,7.12818e-05,7.12818e-05
4,35.2825,2.4535,4.7495,1.75496,0,0,0,0,2.33201,4.61404,2.06168,8.59136e-05,8.59136e-05,8.59136e-05
5,43.7274,2.25294,4.48813,1.67773,0,0,0,0,2.26725,4.58399,1.96772,9.39462e-05,9.39462e-05,9.39462e-05
6,52.8725,2.15005,4.43239,1.52748,0,0,0,0,2.14564,4.43475,1.79145,9.53793e-05,9.53793e-05,9.53793e-05
7,60.6935,2.1238,4.35733,1.47683,0,0,0,0,2.09603,4.34831,1.70627,9.02132e-05,9.02132e-05,9.02132e-05
8,69.5517,2.06607,4.01018,1.4604,0,0,0,0,2.06585,4.29019,1.64257,7.84477e-05,7.84477e-05,7.84477e-05
9,77.4645,2.22094,4.04818,1.46818,0,0,0,0,2.08348,4.2496,1.62083,6.00829e-05,6.00829e-05,6.00829e-05
10,85.2782,1.98303,3.94083,1.40733,0,0,0,0,2.04237,4.22031,1.55758,3.51187e-05,3.51187e-05,3.51187e-05
