epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.844,3.32678,9.3508,0.7369,4.4598,3.13199,0.00976,0.29412,0.00768,0.00265,0,0,0,0,3.15619,8.90896,0.72484,4.38813,3.71169,8e-05,8e-05,8e-05
2,39.679,3.1437,9.39276,0.72597,3.0089,3.00812,0.01834,0.44118,0.04764,0.01563,0.0002,0.02941,0.00011,1e-05,2.78049,8.97672,0.72666,3.46357,3.32042,0.000172872,0.000172872,0.000172872
3,59.357,2.97342,9.18162,0.73263,2.83805,2.74071,0.16657,0.20588,0.09193,0.02661,0.00011,0.02941,7e-05,1e-05,2.57573,9.05077,0.72493,3.50774,2.95253,0.000257824,0.000257824,0.000257824
4,79.103,2.58652,9.18974,0.74076,2.59086,2.34824,0.18125,0.32353,0.14286,0.04612,0,0,0,0,2.27999,9.28866,0.72189,2.81502,2.63351,0.000334856,0.000334856,0.000334856
5,97.432,2.47824,8.61433,0.75944,2.65053,2.43569,0.12956,0.23529,0.13586,0.03499,0,0,0,0,2.31909,9.18937,0.72838,2.69622,2.57541,0.000403968,0.000403968,0.000403968
6,114.997,2.46756,8.48487,0.75979,2.62117,2.43052,0.1306,0.44118,0.12265,0.04466,0,0,0,0,2.16239,9.0369,0.73501,2.45142,2.42521,0.00046516,0.00046516,0.00046516
7,133.523,2.20311,8.55832,0.7774,2.34389,2.17516,0.4766,0.53576,0.39897,0.13031,0,0,0,0,2.08163,9.05527,0.73945,2.40401,2.20646,0.000518432,0.000518432,0.000518432
8,152.933,2.30431,8.20671,0.80493,2.33479,2.32696,0.46422,0.52941,0.5115,0.15506,0,0,0,0,2.03378,8.95516,0.74472,2.26626,2.20298,0.000563784,0.000563784,0.000563784
9,171.36,2.25069,8.05532,0.77153,2.34693,2.27398,0.42292,0.58824,0.42641,0.10547,0,0,0,0,2.07639,8.73334,0.75368,2.18422,2.19308,0.000601216,0.000601216,0.000601216
10,189.647,2.19376,7.93153,0.7962,2.18407,2.07292,0.21054,0.58824,0.28888,0.12988,0,0,0,0,1.98248,8.52311,0.78543,2.02933,2.02867,0.000630728,0.000630728,0.000630728
11,207.594,1.88408,7.38948,0.80357,1.97994,1.91385,0.18972,0.52941,0.25296,0.07666,0,0,0,0,2.33588,8.31547,0.81145,2.10937,2.22908,0.00065232,0.00065232,0.00065232
12,225.247,1.89437,7.04149,0.83018,1.98945,1.94514,0.33822,0.44118,0.32943,0.09561,0,0,0,0,2.20206,8.30891,0.83558,2.12673,2.15847,0.000665992,0.000665992,0.000665992
13,243.695,1.94003,6.99085,0.82987,2.08124,1.95579,0.39017,0.38235,0.4131,0.15438,0,0,0,0,2.63821,8.3156,0.84479,1.9479,2.51143,0.000671744,0.000671744,0.000671744
14,262.909,1.9511,7.12021,0.79482,2.13904,1.94841,0.39017,0.38235,0.4131,0.15438,0,0,0,0,2.63821,8.3156,0.84479,1.9479,2.51143,0.000669576,0.000669576,0.000669576
15,280.924,2.01022,7.72938,0.76332,2.07915,2.04659,0.73122,0.35294,0.53631,0.19669,0,0,0,0,2.38743,8.03956,0.81332,2.03948,2.19604,0.000659488,0.000659488,0.000659488
16,299.666,2.06918,7.57746,0.80758,2.06682,1.96942,0.48117,0.41176,0.50768,0.19869,0.00131,0.02941,0.00079,8e-05,2.13718,7.93097,0.80006,2.17209,1.89652,0.00064148,0.00064148,0.00064148
