epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0289,2.92475,5.11964,2.27172,0,0,0,0,2.83919,4.82023,2.38225,3.333e-05,3.333e-05,3.333e-05
2,23.2083,2.62876,4.95995,2.07797,0,0,0,0,2.66309,4.77168,2.22771,7.00708e-05,7.00708e-05,7.00708e-05
3,34.5626,2.38278,4.71423,1.93616,0,0,0,0,2.34231,4.70166,2.02454,9.80124e-05,9.80124e-05,9.80124e-05
4,45.5348,2.37645,4.608,1.80684,0,0,0,0,1.99934,4.5782,1.75206,0.000117155,0.000117155,0.000117155
5,56.4715,2.24366,4.34666,1.57914,0,0,0,0,1.94304,4.35922,1.55721,0.000127498,0.000127498,0.000127498
6,67.0901,2.1008,4.1454,1.50737,0,0,0,0,1.84657,4.29094,1.45387,0.000129043,0.000129043,0.000129043
7,77.9555,2.32858,4.10106,1.70296,0,0,0,0,1.79606,4.19338,1.38818,0.000121788,0.000121788,0.000121788
8,88.6147,2.02695,3.64216,1.46414,0,0,0,0,1.73844,4.14802,1.35103,0.000105734,0.000105734,0.000105734
9,99.494,1.80935,3.5107,1.34782,0,0,0,0,1.7234,4.11874,1.33912,8.08808e-05,8.08808e-05,8.08808e-05
10,111.508,2.0618,3.46086,1.43601,0,0,0,0,1.72689,4.09852,1.33016,4.72286e-05,4.72286e-05,4.72286e-05
