epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2293.84,1.68528,0.84551,1.15015,0.79681,0.78757,0.79064,0.33588,2.18892,0.97011,1.43735,0.000663943,0.000663943,0.000663943
43,2349.05,1.66643,0.838,1.20517,0.75936,0.76937,0.76116,0.31233,2.27692,0.97605,1.48752,0.000659819,0.000659819,0.000659819
44,2404.66,1.7154,0.82596,1.19193,0.75381,0.76393,0.7614,0.30907,2.27823,0.96844,1.48244,0.000655696,0.000655696,0.000655696
45,2455.55,1.75879,0.83317,1.26102,0.77853,0.80578,0.81127,0.34373,2.17182,0.94444,1.41926,0.000651573,0.000651573,0.000651573
46,2507.14,1.67825,0.81875,1.20171,0.81418,0.81897,0.82972,0.36417,2.1488,0.93064,1.40256,0.000647449,0.000647449,0.000647449
47,2557.84,1.61888,0.821,1.12149,0.81398,0.7774,0.78155,0.32416,2.21674,0.95548,1.44169,0.000643326,0.000643326,0.000643326
48,2609.38,1.73261,0.8486,1.12862,0.78714,0.80019,0.79786,0.32032,2.25373,0.93943,1.44655,0.000639203,0.000639203,0.000639203
49,2660.01,1.68262,0.82516,1.18049,0.81898,0.82017,0.82676,0.32767,2.24734,0.9341,1.4473,0.000635079,0.000635079,0.000635079
50,2711.38,1.5986,0.7831,1.09883,0.82164,0.80301,0.8235,0.34552,2.2096,0.92614,1.4419,0.000630956,0.000630956,0.000630956
51,2763.36,1.60224,0.79685,1.14143,0.79019,0.8052,0.81215,0.34287,2.22213,0.92753,1.45587,0.000626832,0.000626832,0.000626832
52,2816.17,1.59875,0.80306,1.12856,0.81173,0.81967,0.82213,0.3301,2.25306,0.91766,1.47038,0.000622709,0.000622709,0.000622709
53,2868.45,1.59305,0.75057,1.17841,0.84803,0.80585,0.81769,0.34168,2.22959,0.91008,1.45287,0.000618586,0.000618586,0.000618586
54,2923.49,1.55681,0.78882,1.1358,0.85409,0.80177,0.80861,0.33864,2.22045,0.90561,1.4509,0.000614462,0.000614462,0.000614462
55,2977.74,1.53933,0.75017,1.09125,0.83598,0.83075,0.82595,0.32778,2.23835,0.91726,1.46847,0.000610339,0.000610339,0.000610339
56,3033.06,1.61541,0.80081,1.14205,0.82342,0.82695,0.82968,0.32286,2.26781,0.92653,1.49637,0.000606216,0.000606216,0.000606216
57,3088.32,1.70327,0.83828,1.17962,0.83121,0.81688,0.80755,0.31943,2.27746,0.91341,1.5049,0.000602092,0.000602092,0.000602092
58,3141.55,1.6349,0.79851,1.13296,0.83908,0.82772,0.82475,0.33033,2.22736,0.90644,1.48307,0.000597969,0.000597969,0.000597969
59,3196.3,1.49829,0.76593,1.10538,0.83546,0.81182,0.8368,0.32881,2.18689,0.88144,1.46217,0.000593846,0.000593846,0.000593846
60,3250.33,1.60081,0.76767,1.10833,0.86466,0.83918,0.86725,0.34302,2.18277,0.88115,1.45842,0.000589722,0.000589722,0.000589722
61,3304.58,1.65964,0.7916,1.13561,0.85256,0.83736,0.85933,0.34069,2.20994,0.8827,1.46497,0.000585599,0.000585599,0.000585599
62,3359.47,1.64494,0.81027,1.17146,0.80338,0.81275,0.82032,0.32531,2.25737,0.89476,1.4958,0.000581476,0.000581476,0.000581476
63,3414.43,1.60977,0.79309,1.1606,0.80636,0.83149,0.81795,0.32708,2.23944,0.8952,1.4865,0.000577352,0.000577352,0.000577352
64,3469.78,1.51688,0.75428,1.08954,0.8589,0.79324,0.81095,0.3328,2.21058,0.90296,1.47167,0.000573229,0.000573229,0.000573229
65,3525.38,1.52872,0.76797,1.15021,0.83931,0.79396,0.82023,0.33774,2.20923,0.90816,1.47456,0.000569106,0.000569106,0.000569106
66,3580.79,1.63076,0.79326,1.16018,0.8811,0.77623,0.82696,0.34346,2.20794,0.91487,1.46713,0.000564982,0.000564982,0.000564982
67,3637.06,1.55481,0.76598,1.08788,0.74793,0.84474,0.81257,0.33314,2.21163,0.92258,1.46242,0.000560859,0.000560859,0.000560859
68,3692.64,1.55875,0.78614,1.10656,0.75258,0.83082,0.80524,0.32133,2.2214,0.94238,1.45872,0.000556736,0.000556736,0.000556736
69,3747.44,1.4853,0.71222,1.09384,0.74366,0.78866,0.77564,0.3169,2.20652,0.9324,1.45868,0.000552612,0.000552612,0.000552612
70,3803.34,1.50667,0.73404,1.07877,0.77667,0.81392,0.78168,0.31886,2.1844,0.90664,1.45489,0.000548489,0.000548489,0.000548489
71,3857.43,1.51925,0.74262,1.12343,0.76095,0.8224,0.77758,0.31808,2.20956,0.91795,1.4646,0.000544365,0.000544365,0.000544365
72,3912.6,1.53903,0.73041,1.10696,0.7925,0.79313,0.7853,0.32441,2.22791,0.89459,1.46327,0.000540242,0.000540242,0.000540242
73,3967.83,1.42763,0.72459,1.06473,0.75913,0.79458,0.76654,0.32145,2.22757,0.89244,1.46774,0.000536119,0.000536119,0.000536119
74,4020.65,1.48515,0.71144,1.07848,0.77348,0.77792,0.75542,0.31846,2.25873,0.9049,1.49127,0.000531995,0.000531995,0.000531995
75,4076.99,1.47099,0.71967,1.09777,0.76492,0.82488,0.79369,0.30537,2.31315,0.91768,1.5296,0.000527872,0.000527872,0.000527872
76,4132.09,1.47705,0.72759,1.04893,0.81366,0.79172,0.80056,0.30728,2.30063,0.92683,1.53219,0.000523749,0.000523749,0.000523749
77,4183.71,1.36438,0.68736,1.05819,0.79397,0.80186,0.81297,0.31338,2.28638,0.9364,1.52594,0.000519625,0.000519625,0.000519625
78,4236.29,1.46286,0.72829,1.07028,0.83206,0.81274,0.83485,0.31686,2.30978,0.94494,1.53926,0.000515502,0.000515502,0.000515502
79,4290.99,1.48741,0.72633,1.14533,0.84157,0.8129,0.83248,0.29954,2.35446,0.94172,1.56832,0.000511379,0.000511379,0.000511379
80,4347.36,1.44017,0.71947,1.05946,0.8333,0.79169,0.81756,0.2896,2.38464,0.93179,1.58142,0.000507255,0.000507255,0.000507255
81,4404.67,1.44707,0.7003,1.02248,0.82413,0.78444,0.79682,0.31011,2.34704,0.91604,1.54519,0.000503132,0.000503132,0.000503132
82,4457.32,1.37297,0.68893,1.06351,0.78967,0.77153,0.78953,0.30944,2.3152,0.92286,1.5226,0.000499009,0.000499009,0.000499009
83,4508.78,1.47548,0.70548,1.12227,0.77593,0.81634,0.79566,0.3101,2.30426,0.93289,1.52325,0.000494885,0.000494885,0.000494885
84,4560.3,1.40114,0.72114,1.04666,0.76581,0.79191,0.77651,0.30513,2.26655,0.9189,1.52327,0.000490762,0.000490762,0.000490762
85,4611.89,1.37664,0.66767,1.04598,0.80223,0.79729,0.79293,0.31212,2.23665,0.9052,1.51063,0.000486639,0.000486639,0.000486639
86,4663.23,1.37005,0.66988,1.05313,0.80021,0.80884,0.79616,0.32521,2.21543,0.88481,1.4901,0.000482515,0.000482515,0.000482515
87,4715.38,1.37586,0.67581,1.01888,0.80185,0.80768,0.79414,0.32869,2.19811,0.8762,1.47708,0.000478392,0.000478392,0.000478392
88,4766.89,1.38887,0.69645,1.0792,0.81114,0.8151,0.79627,0.32791,2.21351,0.89515,1.49444,0.000474269,0.000474269,0.000474269
89,4819.56,1.32836,0.67813,1.02318,0.78031,0.78613,0.76956,0.32205,2.267,0.92572,1.53972,0.000470145,0.000470145,0.000470145
90,4871.09,1.46893,0.71108,1.07134,0.81727,0.76434,0.76945,0.30649,2.28688,0.92029,1.56183,0.000466022,0.000466022,0.000466022
91,4922.21,1.3664,0.663,1.03868,0.79598,0.79254,0.77653,0.31845,2.27543,0.90186,1.54634,0.000461898,0.000461898,0.000461898
92,4973.63,1.41376,0.67334,1.04222,0.81397,0.81379,0.79335,0.31583,2.26046,0.89359,1.53652,0.000457775,0.000457775,0.000457775
93,5025.03,1.36711,0.67735,1.02854,0.76479,0.80289,0.77961,0.31162,2.2584,0.89069,1.53925,0.000453652,0.000453652,0.000453652
94,5073.9,1.39091,0.67368,1.01876,0.80156,0.80661,0.79655,0.303,2.29589,0.9245,1.55643,0.000449528,0.000449528,0.000449528
95,5123.23,1.3786,0.66396,1.07172,0.79086,0.78249,0.75677,0.2856,2.35132,0.9536,1.59841,0.000445405,0.000445405,0.000445405
96,5174.16,1.34342,0.63871,1.00677,0.78179,0.77212,0.75937,0.28939,2.3655,0.9579,1.60984,0.000441282,0.000441282,0.000441282
97,5223.27,1.35645,0.66287,1.01387,0.78841,0.80262,0.78025,0.29395,2.33849,0.94702,1.58751,0.000437158,0.000437158,0.000437158
98,5272.73,1.35638,0.64698,1.08248,0.76171,0.79626,0.78262,0.30282,2.32421,0.94087,1.57259,0.000433035,0.000433035,0.000433035
99,5322.4,1.42555,0.70577,1.12792,0.78489,0.82584,0.79845,0.30357,2.33326,0.94676,1.57597,0.000428912,0.000428912,0.000428912
100,5372.09,1.35693,0.65692,1.01226,0.75947,0.78641,0.76399,0.30567,2.33602,0.93137,1.58259,0.000424788,0.000424788,0.000424788
101,5421.59,1.34611,0.64506,1.03416,0.75328,0.77667,0.75864,0.30566,2.31603,0.91033,1.57148,0.000420665,0.000420665,0.000420665
102,5470.92,1.28293,0.62561,1.01266,0.78885,0.82238,0.79538,0.31729,2.27245,0.88881,1.53761,0.000416542,0.000416542,0.000416542
103,5521.4,1.20585,0.6167,0.98925,0.80048,0.79615,0.77848,0.32205,2.23325,0.88951,1.52067,0.000412418,0.000412418,0.000412418
104,5569.6,1.34003,0.66492,1.02103,0.80569,0.79232,0.77577,0.31796,2.23177,0.89785,1.52891,0.000408295,0.000408295,0.000408295
105,5619.27,1.25769,0.62481,1.01862,0.81299,0.79617,0.77682,0.30641,2.26609,0.91402,1.56274,0.000404172,0.000404172,0.000404172
106,5669.45,1.37651,0.66211,1.07278,0.80022,0.78488,0.7639,0.30144,2.31654,0.88883,1.58785,0.000400048,0.000400048,0.000400048
107,5718.39,1.27116,0.65624,1.04081,0.80968,0.77892,0.76514,0.29667,2.33531,0.87559,1.59482,0.000395925,0.000395925,0.000395925
108,5767.12,1.21419,0.62774,1.00935,0.79324,0.80374,0.77244,0.29782,2.33628,0.89463,1.58876,0.000391802,0.000391802,0.000391802
109,5817.14,1.27516,0.63923,1.05127,0.79137,0.79912,0.77521,0.29509,2.34508,0.90973,1.59763,0.000387678,0.000387678,0.000387678
110,5866.73,1.31866,0.633,1.04717,0.76381,0.79587,0.77295,0.29732,2.34933,0.90859,1.61255,0.000383555,0.000383555,0.000383555
111,5916.51,1.32106,0.65296,0.98888,0.75556,0.83255,0.77719,0.29905,2.3458,0.89619,1.61364,0.000379431,0.000379431,0.000379431
112,5965.16,1.34789,0.63152,1.01104,0.75394,0.84547,0.8105,0.30934,2.33093,0.87868,1.59475,0.000375308,0.000375308,0.000375308
113,6013.63,1.21298,0.61924,1.0343,0.76437,0.78229,0.78355,0.30412,2.32076,0.86922,1.58352,0.000371185,0.000371185,0.000371185
114,6062.53,1.24366,0.61362,1.02723,0.77886,0.78495,0.78289,0.30107,2.3205,0.86984,1.59089,0.000367061,0.000367061,0.000367061
115,6110.79,1.2739,0.61377,0.99217,0.76322,0.77545,0.78364,0.29486,2.32375,0.89899,1.59481,0.000362938,0.000362938,0.000362938
116,6160.8,1.26193,0.62197,1.03717,0.71609,0.82605,0.78259,0.29111,2.30722,0.91368,1.59051,0.000358815,0.000358815,0.000358815
117,6212.26,1.24619,0.62805,0.99972,0.74635,0.85445,0.81751,0.30507,2.30214,0.89591,1.5923,0.000354691,0.000354691,0.000354691
118,6260.78,1.25973,0.62632,0.99263,0.8098,0.8165,0.8295,0.30865,2.30176,0.87653,1.59828,0.000350568,0.000350568,0.000350568
119,6309.77,1.17437,0.58835,0.99424,0.84201,0.81103,0.84448,0.3124,2.30583,0.874,1.60591,0.000346445,0.000346445,0.000346445
