epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2697,2.95353,5.86593,2.1296,0,0,0,0,2.64301,6.02052,2.3548,3.333e-05,3.333e-05,3.333e-05
2,59.5651,2.67137,4.28281,1.88769,0.54489,0.14454,0.13517,0.06626,2.3956,3.52781,2.06255,7.70001e-05,7.70001e-05,7.70001e-05
3,91.2403,1.80345,6.57011,1.3101,0.84119,0.33359,0.37938,0.17559,2.20413,2.92367,1.92227,0.00011979,0.00011979,0.00011979
4,118.953,2.22167,2.70729,1.68124,0.56228,0.55302,0.50409,0.22242,1.98719,2.65728,1.72999,0.0001617,0.0001617,0.0001617
5,145.426,1.87893,2.26564,1.53311,0.68724,0.55994,0.6308,0.30614,1.79034,2.54086,1.55149,0.000202731,0.000202731,0.000202731
6,171.208,1.91147,1.63259,1.45733,0.70943,0.59356,0.68562,0.33078,1.75963,2.76937,1.52919,0.000242881,0.000242881,0.000242881
7,196.649,1.96373,1.6937,1.56494,0.74505,0.84587,0.86381,0.43744,1.72729,1.91421,1.50464,0.000282152,0.000282152,0.000282152
8,225.617,1.85491,1.64403,1.56018,0.70153,0.86627,0.86841,0.43217,1.74889,1.86509,1.50844,0.000320542,0.000320542,0.000320542
9,254.014,1.75514,1.40375,1.37921,0.69178,0.8,0.82901,0.38834,1.76463,1.76146,1.54155,0.000358053,0.000358053,0.000358053
10,278.52,1.7249,1.20461,1.30812,0.79111,0.77351,0.88125,0.45895,1.6791,1.34585,1.48683,0.000394684,0.000394684,0.000394684
11,304.138,1.69495,1.20314,1.2395,0.78467,0.89329,0.9344,0.49758,1.65861,1.19418,1.45604,0.000430435,0.000430435,0.000430435
12,331.497,1.62526,1.86775,1.35924,0.85963,0.86585,0.93245,0.48574,1.6866,1.11984,1.47326,0.000465306,0.000465306,0.000465306
13,356.801,1.69237,1.28137,1.40638,0.86639,0.72518,0.85934,0.45384,1.61851,1.19959,1.43573,0.000499297,0.000499297,0.000499297
14,385.606,1.60144,1.25198,1.2908,0.88603,0.84312,0.90164,0.46953,1.61018,1.24754,1.42389,0.000532408,0.000532408,0.000532408
15,411.506,1.84548,1.64502,1.52789,0.88812,0.83471,0.93177,0.49209,1.62074,1.14994,1.42555,0.000564639,0.000564639,0.000564639
16,437.815,1.81634,1.13898,1.28919,0.88812,0.83471,0.93177,0.49209,1.62074,1.14994,1.42555,0.00059599,0.00059599,0.00059599
17,463.412,1.58561,1.1592,1.28541,0.89204,0.87055,0.95525,0.53082,1.58849,1.16154,1.38577,0.000626462,0.000626462,0.000626462
18,488.895,1.65614,1.13099,1.35476,0.92613,0.88449,0.97629,0.53593,1.60096,1.00381,1.38253,0.000656053,0.000656053,0.000656053
19,519.968,1.82638,1.16635,1.44575,0.92613,0.88449,0.97629,0.53593,1.60096,1.00381,1.38253,0.000684765,0.000684765,0.000684765
20,546.724,1.50516,0.92735,1.17843,0.84364,0.89328,0.95606,0.53144,1.52091,1.06772,1.32914,0.000712597,0.000712597,0.000712597
21,573.01,1.57626,1.00286,1.23009,0.86932,0.84137,0.96061,0.54453,1.4919,1.16714,1.33461,0.000739548,0.000739548,0.000739548
22,598.668,1.49801,0.98769,1.28679,0.86932,0.84137,0.96061,0.54453,1.4919,1.16714,1.33461,0.00076562,0.00076562,0.00076562
23,624.841,1.62112,1.09615,1.4154,0.90362,0.96353,0.98838,0.5791,1.48177,0.88815,1.34264,0.000790812,0.000790812,0.000790812
24,650.691,1.52882,0.90279,1.3214,0.90362,0.96353,0.98838,0.5791,1.48177,0.88815,1.34264,0.000815124,0.000815124,0.000815124
25,676.531,1.56816,1.01334,1.40576,0.93781,0.99373,0.995,0.57672,1.51647,0.81967,1.3713,0.000838556,0.000838556,0.000838556
26,702.427,1.72818,1.01412,1.44418,0.93781,0.99373,0.995,0.57672,1.51647,0.81967,1.3713,0.000836027,0.000836027,0.000836027
27,728.008,1.65639,0.9183,1.24715,0.94052,0.94469,0.99318,0.59144,1.49398,0.82216,1.36328,0.000825029,0.000825029,0.000825029
28,754.767,1.5868,0.89859,1.30994,0.94052,0.94469,0.99318,0.59144,1.49398,0.82216,1.36328,0.00081403,0.00081403,0.00081403
29,781.862,1.46565,0.83916,1.29645,0.93086,0.9647,0.995,0.57031,1.51672,0.8302,1.35656,0.000803031,0.000803031,0.000803031
30,808.819,1.43862,0.8038,1.1998,0.93086,0.9647,0.995,0.57031,1.51672,0.8302,1.35656,0.000792032,0.000792032,0.000792032
31,834.477,1.51335,0.82317,1.24372,0.90641,0.95507,0.96163,0.48174,1.74697,0.9114,1.46826,0.000781033,0.000781033,0.000781033
32,860.262,1.6123,1.04073,1.25654,0.90641,0.95507,0.96163,0.48174,1.74697,0.9114,1.46826,0.000770034,0.000770034,0.000770034
33,887.031,1.68323,0.82513,1.4049,0.97264,0.96083,0.995,0.55317,1.56066,0.778,1.34036,0.000759035,0.000759035,0.000759035
34,912.91,1.49501,0.81349,1.1851,0.97264,0.96083,0.995,0.55317,1.56066,0.778,1.34036,0.000748036,0.000748036,0.000748036
35,939.215,1.54763,0.82347,1.19614,0.98323,0.97208,0.99167,0.63561,1.3546,0.69751,1.24779,0.000737037,0.000737037,0.000737037
36,967.712,1.53126,0.84689,1.31463,0.98323,0.97208,0.99167,0.63561,1.3546,0.69751,1.24779,0.000726038,0.000726038,0.000726038
