epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,423.413,1.61309,1.41279,1.32229,0.90346,0.91389,0.93134,0.54533,1.61625,1.45285,1.23983,0.00073025,0.00073025,0.00073025
44,433.482,1.70085,1.3185,1.22965,0.92424,0.96875,0.95823,0.47604,1.68818,1.43999,1.25642,0.000717875,0.000717875,0.000717875
45,442.81,1.78562,1.38863,1.31346,0.92424,0.96875,0.95823,0.47604,1.68818,1.43999,1.25642,0.0007055,0.0007055,0.0007055
46,452.371,1.62834,1.32337,1.32486,0.92424,0.96875,0.95823,0.47604,1.68818,1.43999,1.25642,0.000693125,0.000693125,0.000693125
47,462.539,1.66815,1.34998,1.29192,0.94505,0.93676,0.96517,0.4859,1.68428,1.42655,1.27762,0.00068075,0.00068075,0.00068075
48,471.884,1.68212,1.40466,1.35249,0.94505,0.93676,0.96517,0.4859,1.68428,1.42655,1.27762,0.000668375,0.000668375,0.000668375
49,481.102,1.64595,1.31588,1.29256,0.8929,0.82084,0.93135,0.49687,1.64946,1.37311,1.28302,0.000656,0.000656,0.000656
50,490.353,1.54482,1.3607,1.25466,0.8929,0.82084,0.93135,0.49687,1.64946,1.37311,1.28302,0.000643625,0.000643625,0.000643625
51,500.267,1.61244,1.28914,1.27524,0.8929,0.82084,0.93135,0.49687,1.64946,1.37311,1.28302,0.00063125,0.00063125,0.00063125
52,509.973,1.62898,1.26213,1.27486,0.85,0.81109,0.89874,0.50383,1.65537,1.36941,1.27938,0.000618875,0.000618875,0.000618875
53,520.629,1.64428,1.2992,1.32363,0.85,0.81109,0.89874,0.50383,1.65537,1.36941,1.27938,0.0006065,0.0006065,0.0006065
54,530.976,1.52921,1.30671,1.30747,0.85,0.81109,0.89874,0.50383,1.65537,1.36941,1.27938,0.000594125,0.000594125,0.000594125
55,541.402,1.50646,1.24216,1.24958,0.88684,0.86712,0.90568,0.51965,1.5979,1.35361,1.23137,0.00058175,0.00058175,0.00058175
56,551.419,1.6599,1.29754,1.26396,0.88684,0.86712,0.90568,0.51965,1.5979,1.35361,1.23137,0.000569375,0.000569375,0.000569375
57,561.277,1.56739,1.33036,1.29546,0.93945,0.90402,0.96516,0.52947,1.5744,1.32923,1.22886,0.000557,0.000557,0.000557
