epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.448,3.02592,4.88066,2.09192,0,0,0,0,2.82605,4.83298,2.46253,2.222e-05,2.222e-05,2.222e-05
2,19.7692,2.92245,4.79967,2.09127,0,0,0,0,2.58683,4.78375,2.29833,5.50001e-05,5.50001e-05,5.50001e-05
3,28.6504,2.61917,4.61502,1.83521,0,0,0,0,2.42316,4.75857,2.17538,8.71202e-05,8.71202e-05,8.71202e-05
4,37.3575,2.42888,4.48391,1.6808,0,0,0,0,2.17585,4.66314,2.00643,0.00011858,0.00011858,0.00011858
5,45.6784,2.31897,4.39834,1.66599,0,0,0,0,2.17365,4.59579,1.95616,0.000149381,0.000149381,0.000149381
6,53.9309,2.26693,4.19986,1.49332,0,0,0,0,1.94726,4.39421,1.61692,0.000179521,0.000179521,0.000179521
7,62.2609,2.0359,3.88152,1.44191,0,0,0,0,1.92023,4.32988,1.55245,0.000209001,0.000209001,0.000209001
8,70.0763,2.07776,3.56021,1.38198,0,0,0,0,1.89248,4.25067,1.50187,0.000237822,0.000237822,0.000237822
9,78.0406,1.98374,3.42065,1.42021,0,0,0,0,1.89885,4.17665,1.46398,0.000265982,0.000265982,0.000265982
10,85.8865,1.96438,3.0512,1.32865,0.00179,0.08,0.00219,0.00022,1.86265,4.06827,1.38585,0.000293483,0.000293483,0.000293483
11,93.7041,1.95006,2.90574,1.30815,0.00925,0.4,0.07605,0.01556,1.84527,3.95118,1.32525,0.000320324,0.000320324,0.000320324
12,101.453,1.81295,2.6568,1.29501,0.01136,0.48,0.22497,0.0934,1.71744,3.80555,1.23691,0.000346504,0.000346504,0.000346504
13,109.664,1.76587,2.37662,1.24833,0.01309,0.56,0.36093,0.18086,1.64002,3.64258,1.17409,0.000372025,0.000372025,0.000372025
14,117.861,1.7383,2.27282,1.17638,0.01621,0.69,0.31152,0.13494,1.64377,3.54459,1.17984,0.000396886,0.000396886,0.000396886
15,126.933,1.67564,2.21687,1.18052,0.01621,0.69,0.31152,0.13494,1.64377,3.54459,1.17984,0.000421087,0.000421087,0.000421087
16,138.963,1.67286,2.07447,1.215,0.01672,0.75,0.31709,0.12174,1.65723,3.41707,1.17281,0.000444628,0.000444628,0.000444628
17,150.531,1.73262,2.08503,1.24101,0.40007,0.42861,0.3883,0.13005,1.70119,3.34036,1.22259,0.000467509,0.000467509,0.000467509
18,161.193,1.63621,1.82292,1.17997,0.40007,0.42861,0.3883,0.13005,1.70119,3.34036,1.22259,0.00048973,0.00048973,0.00048973
19,169.635,1.77199,1.83866,1.31733,0.21453,0.76,0.52539,0.24125,1.80331,3.09856,1.26103,0.000511291,0.000511291,0.000511291
20,178.057,1.64664,1.6996,1.18909,0.93815,0.36539,0.78769,0.3542,1.82797,2.90655,1.2741,0.000532192,0.000532192,0.000532192
21,186.356,1.60694,1.82539,1.25499,0.93815,0.36539,0.78769,0.3542,1.82797,2.90655,1.2741,0.000552434,0.000552434,0.000552434
22,195.488,1.73665,1.69929,1.20087,0.93815,0.29072,0.77151,0.35715,1.8678,2.79923,1.29476,0.000572015,0.000572015,0.000572015
23,205.028,1.65086,1.57501,1.17546,0.93815,0.29072,0.77151,0.35715,1.8678,2.79923,1.29476,0.000590936,0.000590936,0.000590936
24,214.172,1.7504,1.61243,1.30186,0.93316,0.30139,0.7392,0.34914,1.89602,2.68535,1.31157,0.000609198,0.000609198,0.000609198
25,223.092,1.6323,1.55478,1.20456,0.93316,0.30139,0.7392,0.34914,1.89602,2.68535,1.31157,0.0006268,0.0006268,0.0006268
26,231.518,1.68969,1.48492,1.15437,0.82237,0.32488,0.75016,0.33652,1.88993,2.65431,1.31661,0.000643741,0.000643741,0.000643741
27,240.127,1.57672,1.45197,1.20627,0.82237,0.32488,0.75016,0.33652,1.88993,2.65431,1.31661,0.000660023,0.000660023,0.000660023
28,248.323,1.68413,1.49744,1.29264,0.82453,0.3773,0.75035,0.31108,1.95068,2.5435,1.36125,0.000675645,0.000675645,0.000675645
29,256.288,1.64667,1.36598,1.25851,0.82453,0.3773,0.75035,0.31108,1.95068,2.5435,1.36125,0.000690606,0.000690606,0.000690606
30,264.378,1.57437,1.34863,1.21881,0.82453,0.3773,0.75035,0.31108,1.95068,2.5435,1.36125,0.000704908,0.000704908,0.000704908
31,272.332,1.53836,1.42936,1.32244,0.81732,0.5538,0.79325,0.35304,1.95446,2.29985,1.41934,0.00071855,0.00071855,0.00071855
32,280.345,1.64133,1.36942,1.22335,0.81732,0.5538,0.79325,0.35304,1.95446,2.29985,1.41934,0.000731532,0.000731532,0.000731532
